user_id,pages_viewed,paid_clicks,organic_clicks,revenue,device,ctr_paid,ctr_organic,group
1,61,15,10,35.06,mobile,0.2459016393442623,0.16393442622950818,control
2,213,57,114,179.21,mobile,0.2676056338028169,0.5352112676056338,control
5,23,3,13,13.75,desktop,0.13043478260869565,0.5652173913043478,control
8,356,30,182,271.25,mobile,0.08426966292134831,0.5112359550561798,control
9,226,25,45,418.44,mobile,0.11061946902654868,0.19911504424778761,control
10,97,37,26,67.37,desktop,0.38144329896907214,0.26804123711340205,control
12,96,25,13,73.38,mobile,0.2604166666666667,0.13541666666666666,control
13,31,3,4,28.38,mobile,0.0967741935483871,0.12903225806451613,control
14,139,19,39,33.45,desktop,0.1366906474820144,0.2805755395683453,control
16,203,49,54,392.0,mobile,0.2413793103448276,0.2660098522167488,control
17,135,59,91,161.07,mobile,0.43703703703703706,0.674074074074074,control
25,226,98,55,153.44,mobile,0.4336283185840708,0.24336283185840707,control
26,38,44,18,44.54,desktop,1.1578947368421053,0.47368421052631576,control
27,34,3,10,32.89,mobile,0.08823529411764706,0.29411764705882354,control
28,38,3,10,28.310000000000002,mobile,0.07894736842105263,0.2631578947368421,control
30,91,27,32,71.02,mobile,0.2967032967032967,0.3516483516483517,control
31,71,12,45,43.41,desktop,0.16901408450704225,0.6338028169014085,control
32,24,4,14,8.940000000000001,desktop,0.16666666666666666,0.5833333333333334,control
33,115,49,31,133.05,mobile,0.4260869565217391,0.26956521739130435,control
34,294,23,82,339.53,mobile,0.0782312925170068,0.2789115646258503,control
35,104,6,12,38.57,mobile,0.057692307692307696,0.11538461538461539,control
36,424,79,111,256.39,mobile,0.18632075471698112,0.2617924528301887,control
41,272,26,73,242.03,mobile,0.09558823529411764,0.26838235294117646,control
42,24,8,4,11.370000000000001,desktop,0.3333333333333333,0.16666666666666666,control
43,274,51,87,292.52,mobile,0.18613138686131386,0.3175182481751825,control
45,91,29,45,98.23,mobile,0.31868131868131866,0.4945054945054945,control
46,29,10,10,25.36,mobile,0.3448275862068966,0.3448275862068966,control
50,204,48,45,176.74,mobile,0.23529411764705882,0.22058823529411764,control
54,266,105,98,208.78,mobile,0.39473684210526316,0.3684210526315789,control
55,205,41,25,201.3,mobile,0.2,0.12195121951219512,control
56,32,17,18,28.03,desktop,0.53125,0.5625,control
65,111,22,50,342.71999999999997,mobile,0.1981981981981982,0.45045045045045046,control
67,119,6,19,178.51,mobile,0.05042016806722689,0.15966386554621848,control
68,76,24,15,38.13,desktop,0.3157894736842105,0.19736842105263158,control
70,250,18,49,355.52,mobile,0.072,0.196,control
74,197,26,71,127.9,mobile,0.1319796954314721,0.3604060913705584,control
77,189,19,23,54.56,desktop,0.10052910052910052,0.12169312169312169,control
78,17,8,17,22.46,mobile,0.47058823529411764,1.0,control
80,37,12,6,21.159999999999997,mobile,0.32432432432432434,0.16216216216216217,control
83,35,11,4,17.12,desktop,0.3142857142857143,0.11428571428571428,control
86,14,5,14,11.0,mobile,0.35714285714285715,1.0,control
87,166,51,83,170.1,mobile,0.3072289156626506,0.5,control
88,377,99,123,698.17,mobile,0.2625994694960212,0.32625994694960214,control
89,50,7,10,22.86,mobile,0.14,0.2,control
